Mã sách,Tên sách,Lượt bán,Giá,Tác giả,Người dịch,Ngôn ngữ,Năm xuất bản,Xu hướng,Hình thức,Ratings,Thể loại,Link,Số trang
8935352621080,Chung Một Mái Nhà - Tập 3 - Bản Giới Hạn - Tặng Kèm Set 2 Bookmark + Lót Ly 2 Mặt,237,105.000 đ,"Ghost Mikawa, Hiten",KouEi,Tiếng Việt,2025,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/chung-mot-mai-nha-tap-3-ban-gioi-han-tang-kem-set-2-bookmark-lot-ly-2-mat.html,324
8935235230743,Bạch Dạ Hành (Tái Bản 2021),152,209.000 đ,Higashino Keigo,Diệu Thư,Tiếng Việt,2021,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/bach-da-hanh-tai-ban-2021.html,586
8935235220324,Ngàn Mặt Trời Rực Rỡ (Tái Bản 2019),515,130.000 đ,Khaled Hosseini,Nguyễn Thị Hương Thảo,N/A,2019,No,Bìa Mềm,4.9/5 (0 đánh giá),Văn Học,https://www.fahasa.com/ngan-mat-troi-ruc-ro-tai-ban-2019.html,522
8935325023156,Ghi Chép Pháp Y - Lật Lại Hồ Sơ Tội Ác,247,105.000 đ,Lưu Bát Bách,Linh Tử,Tiếng Việt,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/ghi-chep-phap-y-lat-lai-ho-so-toi-ac.html,168
8935235236912,Vùng Đất Quỷ Tha Ma Bắt,655,168.000 đ,Kevin Chen,Nguyễn Vinh Chi,Tiếng Việt,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/vung-dat-quy-tha-ma-bat.html,413
9786044047416,Cái Áo Duyên,280,159.000 đ,Vân Võ,N/A,N/A,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/cai-ao-duyen.html,346
8935325011047,Mẹ Làm Gì Có Ước Mơ,824,89.000 đ,Hạ Mer,N/A,Tiếng Việt,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/me-lam-gi-co-uoc-mo.html,208
8935212365994,Lũ Trẻ Đường Tàu,438,109.000 đ,Edith Nesbit,Dạ Thảo,N/A,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/lu-tre-duong-tau-457153.html,288
combo-8935325012334-8935325012594,Combo Sách Khó Dỗ Dành - Tập 1 + Tập 2 (Bộ 2 Tập),137,410.000 đ,Trúc Dĩ,An,N/A,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/combo-sach-kho-do-danh-tap-1-tap-2-bo-2-tap.html,N/A
8936213491187,Ma Quỷ Dân Gian Ký - Quyển 2,588,298.000 đ,Duy Văn,N/A,Tiếng Việt,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/ma-quy-dan-gian-ky-quyen-2.html,312
8935095633210,Hai Số Phận (Tái Bản 2023),518,195.000 đ,Jeffrey Archer,Nguyễn Việt Hải,Tiếng Việt,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/hai-so-phan-tai-ban-2023.html,768
8935325019395,Nơi Nào Có Mẹ - Nơi Ấy Là Nhà - Tặng Kèm Bookmark,463,90.000 đ,Hạ Mer,N/A,Tiếng Việt,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/noi-nao-co-me-noi-ay-la-nha-tang-kem-bookmark.html,192
8936213490357,Ma Quỷ Dân Gian Ký,557,268.000 đ,Duy Văn,N/A,Tiếng Việt,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/ma-quy-dan-gian-ky.html,260
8934974174240,Và Rồi Chẳng Còn Ai - And Then There Were None (Từ Tựa Cũ: Mười Người Da Đen Nhỏ),124,110.000 đ,Agatha Christie,Việt Hà,N/A,2021,No,Bìa Mềm,5.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/va-roi-chang-con-ai-and-then-there-were-none-tu-tua-cu-muoi-nguoi-da-den-nho.html,296
8935325005183,Ngôi Nhà Bên Bờ Biển Xanh Thẳm,187,174.000 đ,T J Klune,Jack Frogg,Tiếng Việt,2022,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/ngoi-nha-ben-bo-bien-xanh-tham.html,640
