Mã sách,Tên sách,Lượt bán,Giá,Tác giả,Người dịch,Ngôn ngữ,Năm xuất bản,Xu hướng,Hình thức,Ratings,Thể loại,Link,Số trang
8935235230743,Bạch Dạ Hành (Tái Bản 2021),152,209000,Higashino Keigo,Diệu Thư,Tiếng Việt,2021-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/bach-da-hanh-tai-ban-2021.html,586.0
8935235220324,Ngàn Mặt Trời Rực Rỡ (Tái Bản 2019),515,130000,Khaled Hosseini,Nguyễn Thị Hương Thảo,Tiếng Việt,2019-01-01,0,Bìa Mềm,4.9,Văn Học,https://www.fahasa.com/ngan-mat-troi-ruc-ro-tai-ban-2019.html,522.0
8935325023156,Ghi Chép Pháp Y - Lật Lại Hồ Sơ Tội Ác,247,105000,Lưu Bát Bách,Linh Tử,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/ghi-chep-phap-y-lat-lai-ho-so-toi-ac.html,168.0
8935235236912,Vùng Đất Quỷ Tha Ma Bắt,655,168000,Kevin Chen,Nguyễn Vinh Chi,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/vung-dat-quy-tha-ma-bat.html,413.0
9786044047416,Cái Áo Duyên,280,159000,Vân Võ,Vân Võ,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/cai-ao-duyen.html,346.0
8935325011047,Mẹ Làm Gì Có Ước Mơ,824,89000,Hạ Mer,Hạ Mer,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/me-lam-gi-co-uoc-mo.html,208.0
8935212365994,Lũ Trẻ Đường Tàu,438,109000,Edith Nesbit,Dạ Thảo,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/lu-tre-duong-tau-457153.html,288.0
combo-8935325012334-8935325012594,Combo Sách Khó Dỗ Dành - Tập 1 + Tập 2 (Bộ 2 Tập),137,410000,Trúc Dĩ,An,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/combo-sach-kho-do-danh-tap-1-tap-2-bo-2-tap.html,-1.0
8936213491187,Ma Quỷ Dân Gian Ký - Quyển 2,588,298000,Duy Văn,Duy Văn,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/ma-quy-dan-gian-ky-quyen-2.html,312.0
8935095633210,Hai Số Phận (Tái Bản 2023),518,195000,Jeffrey Archer,Nguyễn Việt Hải,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/hai-so-phan-tai-ban-2023.html,768.0
8935325019395,Nơi Nào Có Mẹ - Nơi Ấy Là Nhà - Tặng Kèm Bookmark,463,90000,Hạ Mer,Hạ Mer,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/noi-nao-co-me-noi-ay-la-nha-tang-kem-bookmark.html,192.0
8936213490357,Ma Quỷ Dân Gian Ký,557,268000,Duy Văn,Duy Văn,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/ma-quy-dan-gian-ky.html,260.0
8934974174240,Và Rồi Chẳng Còn Ai - And Then There Were None (Từ Tựa Cũ: Mười Người Da Đen Nhỏ),124,110000,Agatha Christie,Việt Hà,Tiếng Việt,2021-01-01,0,Bìa Mềm,5.0,Văn Học,https://www.fahasa.com/va-roi-chang-con-ai-and-then-there-were-none-tu-tua-cu-muoi-nguoi-da-den-nho.html,296.0
8935325005183,Ngôi Nhà Bên Bờ Biển Xanh Thẳm,187,174000,T J Klune,Jack Frogg,Tiếng Việt,2022-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/ngoi-nha-ben-bo-bien-xanh-tham.html,640.0
8934974189657,Mùa Hè Không Tên - Bìa Cứng - Tặng Kèm Bookmark 2 Mặt + Poster Tranh + Lót Ly Ngẫu Nhiên + Chữ Ký Tác Giả Ngẫu Nhiên,362,230000,Nguyễn Nhật Ánh,Nguyễn Nhật Ánh,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/mua-he-khong-ten-bia-cung-tang-kem-bookmark-2-mat-poster-tranh-lot-ly-ngau-nhien.html,292.0
